people_ID,20-Mar-20,21-Mar-20,22-Mar-20,23-Mar-20,24-Mar-20,25-Mar-20,26-Mar-20
1,441,544,670,821,"1,002","1,216","1,473"
2,151,197,253,322,400,493,607
3,416,515,632,777,948,"1,150","1,396"
4,410,506,621,762,928,"1,127","1,368"
5,390,483,595,730,893,"1,084","1,316"
6,389,481,591,724,883,"1,072","1,301"
7,322,401,497,611,749,912,"1,110"
8,194,247,310,389,483,593,725
9,310,385,477,589,721,878,"1,070"
10,242,303,379,470,579,708,865
11,373,464,571,702,858,"1,042","1,266"
12,192,245,310,390,482,592,726
13,403,498,613,751,917,"1,114","1,353"
14,120,157,204,262,329,407,504
15,382,474,583,718,876,"1,065","1,294"
16,239,302,378,471,581,710,866
17,199,254,319,399,494,606,742
18,182,232,295,372,462,567,695
19,181,233,295,372,463,569,699
20,220,279,351,439,542,664,813
21,246,308,385,480,591,722,881
22,220,278,350,436,539,660,808
23,415,514,632,776,946,"1,148","1,392"
24,203,259,325,404,501,614,752
25,148,191,243,309,387,477,588
26,381,473,584,719,878,"1,066","1,293"
27,251,315,392,486,597,729,888
28,185,236,300,378,469,576,704
29,365,454,560,688,842,"1,023","1,242"
30,405,501,617,755,921,"1,118","1,357"
31,240,304,380,474,583,712,869
32,236,297,372,464,574,701,858
33,315,393,486,601,737,897,"1,090"
34,253,318,398,492,605,739,901
35,289,361,448,556,681,830,"1,012"
36,281,351,437,542,665,811,989
37,200,253,319,401,496,609,747
38,365,453,558,686,838,"1,019","1,237"
39,189,240,303,378,470,577,706
40,177,225,286,361,449,551,676
41,364,453,560,687,840,"1,020","1,238"
42,189,243,307,383,476,584,716
43,346,431,533,656,803,977,"1,186"
44,427,525,645,790,963,"1,169","1,417"
45,258,323,403,498,613,748,914
46,122,160,207,264,331,410,508
47,287,357,445,551,676,824,"1,002"
48,445,548,672,821,"1,000","1,213","1,470"
49,122,159,205,263,331,410,507
50,367,455,561,691,843,"1,024","1,243"
